id,url,airframe,make,model,category,categoryReadable,callsign,registration,operatorId,operatorName
2914,https://arena.nafc.org.au/resource/api/ext/aircraft/2914,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HFH-(B2),ZK-HFH,606,Glacier Country Helicopters Limited
2178,https://arena.nafc.org.au/resource/api/ext/aircraft/2178,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,HFJ-(520N),ZK-HFJ,485,Rangitikei Helicopters Limited
2162,https://arena.nafc.org.au/resource/api/ext/aircraft/2162,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,HFT-(500),ZK-HFT,476,Lister Helicopters Limited
2546,https://arena.nafc.org.au/resource/api/ext/aircraft/2546,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,HFZ-(BA),ZK-HFZ,565,Nelson Tasman Air & Inflite Charters
2097,https://arena.nafc.org.au/resource/api/ext/aircraft/2097,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,HGO-(BA),ZK-HGO,458,Central South Island Helicopters Limited
2050,https://arena.nafc.org.au/resource/api/ext/aircraft/2050,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HGQ-(B2),ZK-HGQ,440,Heli Glenorchy/Heliworks Queenstown
2086,https://arena.nafc.org.au/resource/api/ext/aircraft/2086,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,HGR-(B3),ZK-HGR,455,Aspiring Helicopters Limited
2111,https://arena.nafc.org.au/resource/api/ext/aircraft/2111,HELICOPTER,MESSERSCHMITT-BOLKOW-BLOHM GMBH,MBB BK 117 B-2,RotType2,RW - Type 2 Medium,HGU-(BK),ZK-HGU,461,GCH Aviation
2109,https://arena.nafc.org.au/resource/api/ext/aircraft/2109,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,HGW-(BK),ZK-HGW,461,GCH Aviation
2090,https://arena.nafc.org.au/resource/api/ext/aircraft/2090,HELICOPTER,BELL HELICOPTER CO,UH-1B,RotType2,RW - Type 2 Medium,HHA-(UH-1),ZK-HHA,456,Beck Helicopters Limited
2091,https://arena.nafc.org.au/resource/api/ext/aircraft/2091,HELICOPTER,BELL HELICOPTER CO,UH-1B,RotType2,RW - Type 2 Medium,HHB-(UH-1),ZK-HHB,456,Beck Helicopters Limited
1506,https://arena.nafc.org.au/resource/api/ext/aircraft/1506,HELICOPTER,BELL HELICOPTER CO,UH-1B,RotType2,RW - Type 2 Medium,HHF-(UH-1),ZK-HHF,1,Stock Software (Testing Op)
2092,https://arena.nafc.org.au/resource/api/ext/aircraft/2092,HELICOPTER,BELL HELICOPTER CO,UH-1B,RotType2,RW - Type 2 Medium,HHF-(UH-1),ZK-HHF,456,Beck Helicopters Limited
2219,https://arena.nafc.org.au/resource/api/ext/aircraft/2219,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HHG-(500),ZK-HHG,497,Charteris Choppers
2227,https://arena.nafc.org.au/resource/api/ext/aircraft/2227,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HHK-(B2),ZK-HHK,500,V3 Heli Limited
2234,https://arena.nafc.org.au/resource/api/ext/aircraft/2234,HELICOPTER,BELL HELICOPTER CO,206L-4,RotType3,RW - Type 3 Light,HHX-(LR),ZK-HHX,502,Heli Resources 2012 Limited
2842,https://arena.nafc.org.au/resource/api/ext/aircraft/2842,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B2,RotType3,RW - Type 3 Light,HHZ-(B2),ZK-HHZ,598,WINDHAWK HELICOPTERS
2528,https://arena.nafc.org.au/resource/api/ext/aircraft/2528,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,HIB-(369),ZK-HIB,445,Alpine Springs Helicopters
2216,https://arena.nafc.org.au/resource/api/ext/aircraft/2216,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 SD1,RotType3,RW - Type 3 Light,HIH-(BA),ZK-HIH,496,Wanaka Helicopters Limited
