id,entityID,url,jurisdiction,name,note,lat,long,locality,managingOrganisation,contactName,contactNumber,classification,status,lastReview,adviceToPilots,hasAirfield,hasHelipad,basePhoneNumber
-296,39656,https://arena.nafc.org.au/register/api/locations/-296,NSW,KANANGRA,null,-34.3238,150.6053,null,null,null,null,null,Unknown,null,null,null,null,null
-295,39655,https://arena.nafc.org.au/register/api/locations/-295,NSW,JOHN OXLEY SPORTSGROUND,null,-30.9695,151.5822,null,null,null,null,null,Unknown,null,null,null,null,null
-294,39654,https://arena.nafc.org.au/register/api/locations/-294,NSW,JJ Melbourne Hills	 Terry Hills,null,-33.6937,151.2230,Thompson Drive	 Terrey Hills,Northern Beaches Council,null,null,null,Current,2021-09-05,Park at North Eastern end of the oval.,null,null,+61294503000
-293,39653,https://arena.nafc.org.au/register/api/locations/-293,NSW,JINGERA,null,-35.7667,149.4167,null,null,null,null,null,Unknown,null,null,null,null,null
-292,39652,https://arena.nafc.org.au/register/api/locations/-292,NSW,JINGELLIC,null,-35.9332,147.7000,null,null,null,null,null,Unknown,null,null,null,null,null
-291,39651,https://arena.nafc.org.au/register/api/locations/-291,NSW,JINDABYNE AIRSTRIP,null,-36.4300,148.6000,null,null,null,null,null,Unknown,null,null,null,null,null
-290,39650,https://arena.nafc.org.au/register/api/locations/-290,NSW,JINDABYNE,null,-36.4203,148.6160,null,null,null,null,null,Unknown,null,null,null,null,null
-289,39649,https://arena.nafc.org.au/register/api/locations/-289,NSW,JERVIS BAY AIRFIELD,null,-35.1467,150.6967,null,Navy Air Station Nowra,Airfield Coordiantion Centre,+61244241257,null,Current,2021-09-05,null,null,null,null
-288,39648,https://arena.nafc.org.au/register/api/locations/-288,NSW,JERRYS PLAINS,null,-32.4968,150.9050,null,null,null,null,null,Unknown,null,null,null,null,null
-287,39647,https://arena.nafc.org.au/register/api/locations/-287,NSW,JERILDERIE,null,-35.3600,145.7268,null,null,null,null,null,Unknown,null,null,null,null,null
-286,39646,https://arena.nafc.org.au/register/api/locations/-286,NSW,Jensens Pad,null,-33.9908,150.1045,null,null,null,null,null,Unknown,null,null,null,null,null
-285,39645,https://arena.nafc.org.au/register/api/locations/-285,NSW,Jenolan Helipad,null,-33.8137,150.0215,null,Jenolan Caves Reserve Trust,null,+61263593922,null,Current,null,Marked concrete pad suitable for helicopter up to an AW138,null,null,null
-284,39644,https://arena.nafc.org.au/register/api/locations/-284,NSW,Jendara Property,null,-35.3852,150.2852,null,null,null,null,null,Unknown,null,null,null,null,null
-283,39643,https://arena.nafc.org.au/register/api/locations/-283,NSW,JEMALONG,null,-33.4013,147.7352,null,null,null,null,null,Unknown,null,null,null,null,null
-282,39642,https://arena.nafc.org.au/register/api/locations/-282,NSW,JACKADGERY,null,-29.5895,152.5827,null,null,null,null,null,Unknown,null,null,null,null,null
-281,39641,https://arena.nafc.org.au/register/api/locations/-281,NSW,INVERELL,null,-29.7780,151.1122,null,null,null,null,null,Unknown,null,null,null,null,null
-280,39640,https://arena.nafc.org.au/register/api/locations/-280,NSW,Inverary Homestead,null,-28.8495,150.8698,null,null,null,null,null,Unknown,null,null,null,null,null
-279,39639,https://arena.nafc.org.au/register/api/locations/-279,NSW,ILUKA,null,-29.4117,153.3530,null,null,null,null,null,Unknown,null,null,null,null,null
-278,39631,https://arena.nafc.org.au/register/api/locations/-278,NSW,HOSKINGTOWN,null,-35.4102,149.4212,null,null,null,null,null,Unknown,null,null,null,null,null
-277,39632,https://arena.nafc.org.au/register/api/locations/-277,NSW,HORNSBY PONY CLUB,null,-33.7252,151.0600,null,null,null,null,null,Unknown,null,null,null,null,null
-276,39630,https://arena.nafc.org.au/register/api/locations/-276,NSW,HORNSBY HEIGHTS,null,-33.6722,151.0987,null,null,null,null,null,Unknown,null,null,null,null,null
-275,39629,https://arena.nafc.org.au/register/api/locations/-275,NSW,HOMEBUSH BAY,null,-33.8398,151.0657,null,null,null,null,null,Unknown,null,null,null,null,null
-274,39628,https://arena.nafc.org.au/register/api/locations/-274,NSW,HOLBROOK AIR PARK,null,-35.6815,147.3238,null,null,null,null,null,Unknown,null,null,null,null,null
-273,39627,https://arena.nafc.org.au/register/api/locations/-273,NSW,Hobden Hill,null,-30.5272,150.5467,null,null,null,null,null,Unknown,null,null,null,null,null
-272,39626,https://arena.nafc.org.au/register/api/locations/-272,NSW,Nowra Airport,null,-34.9483,150.5367,null,null,null,null,null,Unknown,null,null,null,null,null
-271,39625,https://arena.nafc.org.au/register/api/locations/-271,NSW,HLA "CHARLEVILLE" PROPERTY,null,-32.4450,148.9397,null,null,null,null,null,Unknown,null,null,null,null,null
-270,40000,https://arena.nafc.org.au/register/api/locations/-270,NSW,HILLTOP,null,-34.3217,150.2550,null,null,null,null,null,Unknown,null,null,null,null,null
-269,39624,https://arena.nafc.org.au/register/api/locations/-269,NSW,HILL TOP,null,-34.3455,150.4768,null,null,null,null,null,Unknown,null,null,null,null,null
-268,39623,https://arena.nafc.org.au/register/api/locations/-268,NSW,HILL END,null,-33.1207,149.2762,null,null,null,null,null,Unknown,null,null,null,null,null
-267,39636,https://arena.nafc.org.au/register/api/locations/-267,NSW,HEPBURN PARK	 OLIVER AVE	 GOONELLABAH (LISMORE),null,-28.8217,153.3438,null,null,null,null,null,Unknown,null,null,null,null,null
-266,39622,https://arena.nafc.org.au/register/api/locations/-266,NSW,HENRY LAWSON OVAL,null,-33.9063,148.1618,null,null,null,null,null,Unknown,null,null,null,null,null
-265,39621,https://arena.nafc.org.au/register/api/locations/-265,NSW,HEATHCOTE OVAL,null,-34.0872,151.0045,null,null,null,null,null,Unknown,null,null,null,null,null
-264,39620,https://arena.nafc.org.au/register/api/locations/-264,NSW,HAY FIRE CONTROL,null,-34.4917,144.8342,null,null,null,null,null,Unknown,null,null,null,null,null
-263,39619,https://arena.nafc.org.au/register/api/locations/-263,NSW,HAY AIRPORT,null,-34.5265,144.8198,null,null,null,null,null,Unknown,null,null,null,null,null
-262,39618,https://arena.nafc.org.au/register/api/locations/-262,NSW,HAWKESBURY RIVER,null,-33.5500,151.2167,null,null,null,null,null,Unknown,null,null,null,null,null
-261,39617,https://arena.nafc.org.au/register/api/locations/-261,NSW,HAWKESBURY HEIGHTS,null,-33.6717,150.6440,null,null,null,null,null,Unknown,null,null,null,null,null
-260,39616,https://arena.nafc.org.au/register/api/locations/-260,NSW,HAT HEAD,null,-31.0605,153.0577,null,null,null,null,null,Unknown,null,null,null,null,null
-259,39615,https://arena.nafc.org.au/register/api/locations/-259,NSW,Hastings FCC helipad,null,-31.4633,152.7350,null,null,null,null,null,Unknown,null,null,null,null,null
-258,39614,https://arena.nafc.org.au/register/api/locations/-258,NSW,HASTING POINT,null,-28.3495,153.5620,null,null,null,null,null,Unknown,null,null,null,null,null
-257,39613,https://arena.nafc.org.au/register/api/locations/-257,NSW,HARTLEY HELIPAD,null,-33.5478,150.1750,null,null,null,null,null,Unknown,null,null,null,null,null
-256,39612,https://arena.nafc.org.au/register/api/locations/-256,NSW,HAROLD ROSSITERS AIRSTRIP,null,-33.6417,146.8038,null,null,null,null,null,Unknown,null,null,null,null,null
-255,39611,https://arena.nafc.org.au/register/api/locations/-255,NSW,HARDEN,null,-34.5530,148.3577,null,null,null,null,null,Unknown,null,null,null,null,null
-254,39610,https://arena.nafc.org.au/register/api/locations/-254,NSW,HANSENS PAD,null,-32.9020,150.6335,null,null,null,null,null,Unknown,null,null,null,null,null
-253,39609,https://arena.nafc.org.au/register/api/locations/-253,NSW,H.M.A.S. ALBRATROSS,null,-34.9332,150.5500,null,null,null,null,null,Unknown,null,null,null,null,null
-252,39608,https://arena.nafc.org.au/register/api/locations/-252,NSW,GUYRA,null,-30.2227,151.6682,null,null,null,null,null,Unknown,null,null,null,null,null
-250,39607,https://arena.nafc.org.au/register/api/locations/-250,NSW,GUNNING,null,-34.7807,149.2650,null,null,null,null,null,Unknown,null,null,null,null,null
-249,39606,https://arena.nafc.org.au/register/api/locations/-249,NSW,Gunnedah The Pines,null,-30.9762,149.7227,null,null,null,null,null,Unknown,null,null,null,null,null
-247,39604,https://arena.nafc.org.au/register/api/locations/-247,NSW,Gunnedah	 Kennedy Air Ag Base,null,-30.9800,150.1798,null,null,null,null,null,Current,null,null,null,null,null
-246,39603,https://arena.nafc.org.au/register/api/locations/-246,NSW,GUNNEDAH,null,-30.9802,150.2550,null,null,null,null,null,Unknown,null,null,null,null,null
-245,39592,https://arena.nafc.org.au/register/api/locations/-245,NSW,GUNDILLION HELIBASE,null,-35.7800,149.6240,null,null,null,null,null,Unknown,null,null,null,null,null
